comment,label
You are a complete idiot,1
Great job!,0
I wish you were gone,1
"Get lost, nobody wants you here",1
Thank you so much,0
Great job!,0
Nobody likes you,1
This is the worst thing ever,1
This is fantastic,0
"Excellent work, well done!",0
This is trash,1
"Great guide, thanks!",0
Great job!,0
You did amazing,0
I enjoyed this,0
I wish you were gone,1
You did amazing,0
That was very helpful,0
Stop being such a loser,1
I really appreciate your effort,0
Wonderful experience,0
This is the worst thing ever,1
Stop being such a loser,1
I really appreciate your effort,0
I wish you were gone,1
"Great guide, thanks!",0
This is the worst thing ever,1
"Get lost, nobody wants you here",1
This is fantastic,0
"Get lost, nobody wants you here",1
I hate everything you do,1
I enjoyed this,0
I enjoyed this,0
Great job!,0
You are a complete idiot,1
This is fantastic,0
This is fantastic,0
This is the worst thing ever,1
I really appreciate your effort,0
Thank you so much,0
You are a failure,1
Stop being such a loser,1
This is fantastic,0
That was very helpful,0
Keep up the good work,0
Thank you so much,0
You're so stupid,1
I really appreciate your effort,0
Keep up the good work,0
Great job!,0
"Get lost, nobody wants you here",1
This is trash,1
You're so stupid,1
This is fantastic,0
Keep up the good work,0
"Great guide, thanks!",0
You're a disgrace,1
Thank you so much,0
Wonderful experience,0
This is fantastic,0
Nobody likes you,1
I enjoyed this,0
You did amazing,0
Nobody likes you,1
You're so stupid,1
You're so stupid,1
This is fantastic,0
You are a failure,1
Nobody likes you,1
I hate everything you do,1
Wonderful experience,0
I enjoyed this,0
You are a complete idiot,1
Stop being such a loser,1
You're a disgrace,1
You did amazing,0
"Great guide, thanks!",0
I hate everything you do,1
"Get lost, nobody wants you here",1
Great job!,0
Thank you so much,0
"Get lost, nobody wants you here",1
This is trash,1
You're so stupid,1
This is fantastic,0
I hate everything you do,1
I hate everything you do,1
Keep up the good work,0
I wish you were gone,1
Nobody likes you,1
Thank you so much,0
Great job!,0
Nobody likes you,1
"Excellent work, well done!",0
This is trash,1
Thank you so much,0
I really appreciate your effort,0
Thank you so much,0
Nobody likes you,1
You are a failure,1
Nobody likes you,1
You are a complete idiot,1
That was very helpful,0
I enjoyed this,0
You're a disgrace,1
You are a complete idiot,1
"Excellent work, well done!",0
"Excellent work, well done!",0
Thank you so much,0
Keep up the good work,0
This is fantastic,0
You're so stupid,1
You are a failure,1
You're so stupid,1
You did amazing,0
I enjoyed this,0
Thank you so much,0
You're a disgrace,1
You are a failure,1
Keep up the good work,0
I wish you were gone,1
This is fantastic,0
I wish you were gone,1
This is fantastic,0
This is fantastic,0
This is trash,1
I enjoyed this,0
Thank you so much,0
"Great guide, thanks!",0
This is the worst thing ever,1
This is trash,1
Nobody likes you,1
"Get lost, nobody wants you here",1
Keep up the good work,0
I enjoyed this,0
"Excellent work, well done!",0
You are a failure,1
This is the worst thing ever,1
I hate everything you do,1
I enjoyed this,0
Stop being such a loser,1
I really appreciate your effort,0
You are a complete idiot,1
I hate everything you do,1
Stop being such a loser,1
Nobody likes you,1
I wish you were gone,1
Wonderful experience,0
You are a failure,1
This is fantastic,0
You're a disgrace,1
Stop being such a loser,1
Thank you so much,0
You're so stupid,1
You're so stupid,1
"Great guide, thanks!",0
Keep up the good work,0
Thank you so much,0
Keep up the good work,0
This is the worst thing ever,1
I hate everything you do,1
Stop being such a loser,1
Thank you so much,0
"Great guide, thanks!",0
You're a disgrace,1
Wonderful experience,0
"Great guide, thanks!",0
I enjoyed this,0
"Excellent work, well done!",0
Great job!,0
Nobody likes you,1
You're so stupid,1
You are a failure,1
I wish you were gone,1
Stop being such a loser,1
Thank you so much,0
You're a disgrace,1
This is the worst thing ever,1
You're so stupid,1
You did amazing,0
You're a disgrace,1
You're a disgrace,1
You did amazing,0
"Get lost, nobody wants you here",1
This is trash,1
Keep up the good work,0
You are a failure,1
I hate everything you do,1
I really appreciate your effort,0
That was very helpful,0
This is trash,1
You are a failure,1
That was very helpful,0
"Get lost, nobody wants you here",1
I enjoyed this,0
Great job!,0
Stop being such a loser,1
I hate everything you do,1
Great job!,0
This is trash,1
Nobody likes you,1
This is the worst thing ever,1
Nobody likes you,1
That was very helpful,0
I enjoyed this,0
Thank you so much,0
That was very helpful,0
"Get lost, nobody wants you here",1
This is trash,1
Stop being such a loser,1
Nobody likes you,1
This is the worst thing ever,1
Wonderful experience,0
Great job!,0
This is trash,1
That was very helpful,0
"Excellent work, well done!",0
"Great guide, thanks!",0
Great job!,0
You're a disgrace,1
I wish you were gone,1
Stop being such a loser,1
You did amazing,0
I wish you were gone,1
"Excellent work, well done!",0
I wish you were gone,1
I enjoyed this,0
I enjoyed this,0
This is fantastic,0
That was very helpful,0
You are a complete idiot,1
Nobody likes you,1
That was very helpful,0
Stop being such a loser,1
You did amazing,0
You are a complete idiot,1
That was very helpful,0
"Excellent work, well done!",0
Thank you so much,0
This is the worst thing ever,1
Nobody likes you,1
This is the worst thing ever,1
"Excellent work, well done!",0
You did amazing,0
Thank you so much,0
You're so stupid,1
This is the worst thing ever,1
I really appreciate your effort,0
"Get lost, nobody wants you here",1
I hate everything you do,1
You are a complete idiot,1
This is trash,1
This is the worst thing ever,1
You're so stupid,1
Nobody likes you,1
I hate everything you do,1
I wish you were gone,1
Wonderful experience,0
You are a failure,1
"Get lost, nobody wants you here",1
I really appreciate your effort,0
"Get lost, nobody wants you here",1
That was very helpful,0
"Excellent work, well done!",0
Wonderful experience,0
"Excellent work, well done!",0
You're a disgrace,1
This is trash,1
"Great guide, thanks!",0
I really appreciate your effort,0
I wish you were gone,1
"Great guide, thanks!",0
Keep up the good work,0
This is fantastic,0
Nobody likes you,1
You are a complete idiot,1
You're a disgrace,1
"Excellent work, well done!",0
I really appreciate your effort,0
This is trash,1
Nobody likes you,1
You did amazing,0
Nobody likes you,1
I enjoyed this,0
You are a failure,1
Thank you so much,0
I enjoyed this,0
You did amazing,0
This is trash,1
I wish you were gone,1
Great job!,0
You did amazing,0
Wonderful experience,0
Keep up the good work,0
You're so stupid,1
I wish you were gone,1
"Get lost, nobody wants you here",1
You are a failure,1
Keep up the good work,0
"Excellent work, well done!",0
I enjoyed this,0
"Great guide, thanks!",0
That was very helpful,0
You are a complete idiot,1
You did amazing,0
Wonderful experience,0
I enjoyed this,0
"Excellent work, well done!",0
I wish you were gone,1
This is trash,1
That was very helpful,0
This is trash,1
That was very helpful,0
Wonderful experience,0
You're so stupid,1
You are a failure,1
Keep up the good work,0
You're a disgrace,1
Great job!,0
This is the worst thing ever,1
You're so stupid,1
Stop being such a loser,1
Stop being such a loser,1
You're so stupid,1
You did amazing,0
I really appreciate your effort,0
Thank you so much,0
You are a complete idiot,1
"Excellent work, well done!",0
Stop being such a loser,1
This is the worst thing ever,1
Stop being such a loser,1
That was very helpful,0
"Great guide, thanks!",0
You're so stupid,1
Great job!,0
You did amazing,0
You are a complete idiot,1
Nobody likes you,1
That was very helpful,0
Wonderful experience,0
You're a disgrace,1
I wish you were gone,1
This is the worst thing ever,1
This is fantastic,0
You're a disgrace,1
You're so stupid,1
Wonderful experience,0
"Excellent work, well done!",0
"Excellent work, well done!",0
Wonderful experience,0
You did amazing,0
You're a disgrace,1
This is the worst thing ever,1
"Great guide, thanks!",0
Great job!,0
You are a failure,1
This is the worst thing ever,1
You did amazing,0
Thank you so much,0
"Great guide, thanks!",0
Keep up the good work,0
"Great guide, thanks!",0
Thank you so much,0
"Great guide, thanks!",0
I enjoyed this,0
Wonderful experience,0
You're a disgrace,1
I really appreciate your effort,0
Thank you so much,0
Stop being such a loser,1
"Great guide, thanks!",0
You're a disgrace,1
Thank you so much,0
I wish you were gone,1
You are a complete idiot,1
I enjoyed this,0
I hate everything you do,1
Thank you so much,0
This is the worst thing ever,1
Great job!,0
This is trash,1
"Excellent work, well done!",0
You did amazing,0
You are a complete idiot,1
You are a failure,1
This is the worst thing ever,1
Keep up the good work,0
I wish you were gone,1
I enjoyed this,0
"Excellent work, well done!",0
Nobody likes you,1
Thank you so much,0
You are a failure,1
"Great guide, thanks!",0
Thank you so much,0
That was very helpful,0
You did amazing,0
"Excellent work, well done!",0
That was very helpful,0
Thank you so much,0
"Great guide, thanks!",0
I wish you were gone,1
You're a disgrace,1
This is the worst thing ever,1
You're so stupid,1
Keep up the good work,0
I enjoyed this,0
You are a complete idiot,1
You did amazing,0
I hate everything you do,1
This is the worst thing ever,1
You did amazing,0
I hate everything you do,1
This is trash,1
Nobody likes you,1
You're so stupid,1
This is trash,1
Thank you so much,0
Thank you so much,0
"Excellent work, well done!",0
You're so stupid,1
Thank you so much,0
Wonderful experience,0
You did amazing,0
This is trash,1
This is trash,1
I enjoyed this,0
Keep up the good work,0
You're so stupid,1
Stop being such a loser,1
"Excellent work, well done!",0
You're so stupid,1
Wonderful experience,0
I enjoyed this,0
This is trash,1
That was very helpful,0
You did amazing,0
Wonderful experience,0
This is fantastic,0
Thank you so much,0
"Excellent work, well done!",0
You did amazing,0
"Great guide, thanks!",0
Thank you so much,0
This is trash,1
I enjoyed this,0
I enjoyed this,0
Thank you so much,0
Thank you so much,0
Wonderful experience,0
You did amazing,0
Stop being such a loser,1
I really appreciate your effort,0
I hate everything you do,1
You're so stupid,1
You're a disgrace,1
"Get lost, nobody wants you here",1
You are a complete idiot,1
Stop being such a loser,1
You're a disgrace,1
You are a failure,1
This is the worst thing ever,1
Stop being such a loser,1
I hate everything you do,1
Wonderful experience,0
You are a failure,1
This is trash,1
You're a disgrace,1
You did amazing,0
"Great guide, thanks!",0
I hate everything you do,1
That was very helpful,0
This is trash,1
Nobody likes you,1
Thank you so much,0
This is fantastic,0
"Great guide, thanks!",0
You're so stupid,1
"Get lost, nobody wants you here",1
I really appreciate your effort,0
This is the worst thing ever,1
I enjoyed this,0
This is fantastic,0
I hate everything you do,1
Keep up the good work,0
"Excellent work, well done!",0
This is the worst thing ever,1
That was very helpful,0
Wonderful experience,0
This is fantastic,0
Stop being such a loser,1
I enjoyed this,0
You're so stupid,1
You are a complete idiot,1
You're a disgrace,1
I enjoyed this,0
This is the worst thing ever,1
I wish you were gone,1
This is fantastic,0
I really appreciate your effort,0
"Excellent work, well done!",0
You are a failure,1
This is trash,1
I really appreciate your effort,0
"Get lost, nobody wants you here",1
I wish you were gone,1
Wonderful experience,0
"Excellent work, well done!",0
Great job!,0
Nobody likes you,1
Stop being such a loser,1
That was very helpful,0
You are a complete idiot,1
"Great guide, thanks!",0
I enjoyed this,0
That was very helpful,0
You are a complete idiot,1
This is the worst thing ever,1
Stop being such a loser,1
This is trash,1
Stop being such a loser,1
Nobody likes you,1
This is the worst thing ever,1
This is trash,1
That was very helpful,0
I wish you were gone,1
"Great guide, thanks!",0
This is fantastic,0
You're a disgrace,1
This is fantastic,0
"Get lost, nobody wants you here",1
"Great guide, thanks!",0
Wonderful experience,0
Great job!,0
Great job!,0
"Great guide, thanks!",0
You did amazing,0
Thank you so much,0
I hate everything you do,1
Nobody likes you,1
You are a failure,1
Keep up the good work,0
This is the worst thing ever,1
Great job!,0
You are a failure,1
You did amazing,0
I hate everything you do,1
You're a disgrace,1
Thank you so much,0
"Excellent work, well done!",0
I hate everything you do,1
I enjoyed this,0
"Great guide, thanks!",0
Great job!,0
You are a complete idiot,1
This is fantastic,0
You are a complete idiot,1
That was very helpful,0
This is trash,1
"Excellent work, well done!",0
This is the worst thing ever,1
You did amazing,0
"Great guide, thanks!",0
Thank you so much,0
You're so stupid,1
You're so stupid,1
"Excellent work, well done!",0
You are a complete idiot,1
Nobody likes you,1
This is trash,1
Wonderful experience,0
You did amazing,0
Stop being such a loser,1
I hate everything you do,1
Nobody likes you,1
I really appreciate your effort,0
"Get lost, nobody wants you here",1
Keep up the good work,0
This is fantastic,0
"Great guide, thanks!",0
Nobody likes you,1
"Excellent work, well done!",0
You are a complete idiot,1
That was very helpful,0
Nobody likes you,1
"Excellent work, well done!",0
You're a disgrace,1
You did amazing,0
You are a failure,1
I enjoyed this,0
You are a failure,1
You did amazing,0
Wonderful experience,0
"Great guide, thanks!",0
Great job!,0
You did amazing,0
Great job!,0
You're so stupid,1
Wonderful experience,0
I really appreciate your effort,0
You are a complete idiot,1
This is the worst thing ever,1
You are a complete idiot,1
"Get lost, nobody wants you here",1
That was very helpful,0
"Get lost, nobody wants you here",1
"Great guide, thanks!",0
You did amazing,0
Great job!,0
Thank you so much,0
You did amazing,0
I hate everything you do,1
You're a disgrace,1
I wish you were gone,1
Wonderful experience,0
I enjoyed this,0
This is trash,1
"Great guide, thanks!",0
I enjoyed this,0
You did amazing,0
I wish you were gone,1
You did amazing,0
You did amazing,0
You're so stupid,1
Stop being such a loser,1
You're a disgrace,1
Stop being such a loser,1
That was very helpful,0
This is trash,1
I hate everything you do,1
Thank you so much,0
You are a complete idiot,1
Thank you so much,0
Keep up the good work,0
That was very helpful,0
Stop being such a loser,1
Keep up the good work,0
This is trash,1
"Get lost, nobody wants you here",1
You're a disgrace,1
This is fantastic,0
Keep up the good work,0
Nobody likes you,1
I enjoyed this,0
You're a disgrace,1
That was very helpful,0
"Excellent work, well done!",0
You are a complete idiot,1
"Excellent work, well done!",0
Keep up the good work,0
That was very helpful,0
Wonderful experience,0
I hate everything you do,1
Great job!,0
This is trash,1
"Great guide, thanks!",0
I enjoyed this,0
I really appreciate your effort,0
You are a complete idiot,1
You are a complete idiot,1
That was very helpful,0
I wish you were gone,1
"Excellent work, well done!",0
I enjoyed this,0
You are a failure,1
"Get lost, nobody wants you here",1
I wish you were gone,1
Nobody likes you,1
I hate everything you do,1
"Get lost, nobody wants you here",1
Great job!,0
Wonderful experience,0
That was very helpful,0
I enjoyed this,0
This is trash,1
I wish you were gone,1
This is fantastic,0
I hate everything you do,1
"Great guide, thanks!",0
I hate everything you do,1
This is trash,1
You're a disgrace,1
"Get lost, nobody wants you here",1
That was very helpful,0
"Get lost, nobody wants you here",1
"Get lost, nobody wants you here",1
I enjoyed this,0
Thank you so much,0
"Excellent work, well done!",0
This is trash,1
You are a complete idiot,1
This is fantastic,0
That was very helpful,0
I really appreciate your effort,0
Great job!,0
This is fantastic,0
Wonderful experience,0
I hate everything you do,1
You are a complete idiot,1
Wonderful experience,0
Great job!,0
Great job!,0
Great job!,0
This is fantastic,0
"Get lost, nobody wants you here",1
"Get lost, nobody wants you here",1
I hate everything you do,1
Thank you so much,0
Wonderful experience,0
Stop being such a loser,1
I enjoyed this,0
You are a failure,1
Keep up the good work,0
Nobody likes you,1
I enjoyed this,0
"Great guide, thanks!",0
I hate everything you do,1
"Great guide, thanks!",0
You are a failure,1
I really appreciate your effort,0
You are a failure,1
You are a complete idiot,1
This is the worst thing ever,1
Great job!,0
You're so stupid,1
Nobody likes you,1
Wonderful experience,0
Keep up the good work,0
I wish you were gone,1
Great job!,0
You are a complete idiot,1
This is the worst thing ever,1
That was very helpful,0
This is fantastic,0
Great job!,0
You did amazing,0
You're a disgrace,1
You're a disgrace,1
You're so stupid,1
I hate everything you do,1
You're so stupid,1
That was very helpful,0
"Excellent work, well done!",0
You are a complete idiot,1
You're a disgrace,1
You are a failure,1
Thank you so much,0
This is fantastic,0
That was very helpful,0
Stop being such a loser,1
I wish you were gone,1
Nobody likes you,1
This is trash,1
I really appreciate your effort,0
Wonderful experience,0
"Get lost, nobody wants you here",1
Great job!,0
I wish you were gone,1
I wish you were gone,1
Keep up the good work,0
"Get lost, nobody wants you here",1
This is the worst thing ever,1
Wonderful experience,0
Thank you so much,0
Keep up the good work,0
That was very helpful,0
You are a complete idiot,1
I wish you were gone,1
Wonderful experience,0
You're so stupid,1
Stop being such a loser,1
You did amazing,0
I enjoyed this,0
Great job!,0
This is trash,1
This is trash,1
Thank you so much,0
You are a complete idiot,1
You're a disgrace,1
This is the worst thing ever,1
I hate everything you do,1
Great job!,0
I enjoyed this,0
Great job!,0
That was very helpful,0
"Great guide, thanks!",0
Great job!,0
You're so stupid,1
I wish you were gone,1
"Get lost, nobody wants you here",1
I enjoyed this,0
"Excellent work, well done!",0
I enjoyed this,0
This is trash,1
You're so stupid,1
You're so stupid,1
This is trash,1
This is fantastic,0
You're a disgrace,1
You're a disgrace,1
I hate everything you do,1
"Great guide, thanks!",0
"Get lost, nobody wants you here",1
You're so stupid,1
"Excellent work, well done!",0
You're a disgrace,1
Keep up the good work,0
Nobody likes you,1
You are a failure,1
You're a disgrace,1
This is fantastic,0
You're so stupid,1
You did amazing,0
Great job!,0
This is trash,1
That was very helpful,0
You are a complete idiot,1
This is fantastic,0
"Great guide, thanks!",0
That was very helpful,0
You are a failure,1
I wish you were gone,1
I enjoyed this,0
You are a complete idiot,1
Keep up the good work,0
You did amazing,0
Thank you so much,0
You are a complete idiot,1
I wish you were gone,1
This is fantastic,0
"Excellent work, well done!",0
This is fantastic,0
"Excellent work, well done!",0
Great job!,0
This is trash,1
This is trash,1
You're a disgrace,1
You're a disgrace,1
This is fantastic,0
"Get lost, nobody wants you here",1
Stop being such a loser,1
Great job!,0
Nobody likes you,1
That was very helpful,0
You are a complete idiot,1
"Get lost, nobody wants you here",1
"Excellent work, well done!",0
You are a failure,1
"Get lost, nobody wants you here",1
You are a complete idiot,1
I wish you were gone,1
This is the worst thing ever,1
I wish you were gone,1
I wish you were gone,1
You're so stupid,1
You did amazing,0
I really appreciate your effort,0
You are a complete idiot,1
You are a failure,1
You're a disgrace,1
Keep up the good work,0
You are a failure,1
I wish you were gone,1
I really appreciate your effort,0
I wish you were gone,1
Great job!,0
This is fantastic,0
You're so stupid,1
Thank you so much,0
I wish you were gone,1
"Get lost, nobody wants you here",1
I wish you were gone,1
You did amazing,0
I really appreciate your effort,0
Keep up the good work,0
You did amazing,0
Great job!,0
"Excellent work, well done!",0
That was very helpful,0
Thank you so much,0
Wonderful experience,0
"Great guide, thanks!",0
Stop being such a loser,1
I really appreciate your effort,0
I really appreciate your effort,0
Stop being such a loser,1
I wish you were gone,1
You are a complete idiot,1
"Great guide, thanks!",0
Great job!,0
I wish you were gone,1
You're a disgrace,1
"Excellent work, well done!",0
Great job!,0
This is fantastic,0
Great job!,0
"Great guide, thanks!",0
You're a disgrace,1
Keep up the good work,0
That was very helpful,0
You are a complete idiot,1
You are a failure,1
You are a failure,1
You are a complete idiot,1
Thank you so much,0
Wonderful experience,0
This is fantastic,0
Keep up the good work,0
Keep up the good work,0
Thank you so much,0
That was very helpful,0
Keep up the good work,0
You are a failure,1
"Get lost, nobody wants you here",1
"Great guide, thanks!",0
I hate everything you do,1
"Excellent work, well done!",0
"Great guide, thanks!",0
"Get lost, nobody wants you here",1
You are a failure,1
Thank you so much,0
Wonderful experience,0
Nobody likes you,1
"Excellent work, well done!",0
Great job!,0
You are a complete idiot,1
"Get lost, nobody wants you here",1
You are a complete idiot,1
You're a disgrace,1
Great job!,0
You are a complete idiot,1
I really appreciate your effort,0
This is trash,1
I really appreciate your effort,0
Stop being such a loser,1
This is fantastic,0
Keep up the good work,0
You did amazing,0
That was very helpful,0
Thank you so much,0
"Great guide, thanks!",0
That was very helpful,0
Great job!,0
I really appreciate your effort,0
Nobody likes you,1
You are a complete idiot,1
Wonderful experience,0
This is fantastic,0
"Great guide, thanks!",0
"Get lost, nobody wants you here",1
Nobody likes you,1
"Excellent work, well done!",0
"Excellent work, well done!",0
Keep up the good work,0
This is fantastic,0
This is fantastic,0
"Excellent work, well done!",0
You are a failure,1
Wonderful experience,0
"Excellent work, well done!",0
Great job!,0
Thank you so much,0
This is the worst thing ever,1
I really appreciate your effort,0
This is fantastic,0
You're a disgrace,1
I really appreciate your effort,0
"Get lost, nobody wants you here",1
That was very helpful,0
"Great guide, thanks!",0
You're so stupid,1
Great job!,0
Wonderful experience,0
I wish you were gone,1
Wonderful experience,0
Thank you so much,0
That was very helpful,0
"Excellent work, well done!",0
Wonderful experience,0
This is fantastic,0
I enjoyed this,0
I hate everything you do,1
I wish you were gone,1
"Great guide, thanks!",0
You did amazing,0
You're so stupid,1
You're so stupid,1
"Excellent work, well done!",0
You're so stupid,1
This is trash,1
This is the worst thing ever,1
That was very helpful,0
Wonderful experience,0
Keep up the good work,0
I enjoyed this,0
I hate everything you do,1
This is fantastic,0
I enjoyed this,0
That was very helpful,0
"Get lost, nobody wants you here",1
Great job!,0
Thank you so much,0
You are a failure,1
I wish you were gone,1
Great job!,0
You are a complete idiot,1
You're so stupid,1
This is trash,1
This is the worst thing ever,1
I wish you were gone,1
That was very helpful,0
This is fantastic,0
You're a disgrace,1
I wish you were gone,1
You are a complete idiot,1
Keep up the good work,0
This is fantastic,0
This is the worst thing ever,1
That was very helpful,0
I wish you were gone,1
You are a failure,1
I enjoyed this,0
This is trash,1
"Excellent work, well done!",0
I enjoyed this,0
Nobody likes you,1
"Excellent work, well done!",0
I enjoyed this,0
I hate everything you do,1
You are a failure,1
You are a complete idiot,1
That was very helpful,0
Stop being such a loser,1
You are a complete idiot,1
This is trash,1
I hate everything you do,1
Thank you so much,0
You're a disgrace,1
"Excellent work, well done!",0
I really appreciate your effort,0
I enjoyed this,0
This is trash,1
Wonderful experience,0
Wonderful experience,0
I wish you were gone,1
I wish you were gone,1
You're a disgrace,1
Keep up the good work,0
I hate everything you do,1
I enjoyed this,0
Thank you so much,0
This is the worst thing ever,1
"Get lost, nobody wants you here",1
Keep up the good work,0
That was very helpful,0
I enjoyed this,0
I really appreciate your effort,0
Nobody likes you,1
Nobody likes you,1
You are a failure,1
This is the worst thing ever,1
This is the worst thing ever,1
I really appreciate your effort,0
I wish you were gone,1
You are a failure,1
You are a complete idiot,1
This is fantastic,0
This is fantastic,0
I hate everything you do,1
"Great guide, thanks!",0
This is fantastic,0
"Great guide, thanks!",0
"Great guide, thanks!",0
This is fantastic,0
I enjoyed this,0
Wonderful experience,0
I enjoyed this,0
This is fantastic,0
This is trash,1
"Excellent work, well done!",0
You're a disgrace,1
"Get lost, nobody wants you here",1
This is the worst thing ever,1
I hate everything you do,1
Wonderful experience,0
I wish you were gone,1
You're a disgrace,1
That was very helpful,0
Great job!,0
I wish you were gone,1
This is the worst thing ever,1
This is trash,1
I enjoyed this,0
Wonderful experience,0
You are a complete idiot,1
Thank you so much,0
"Excellent work, well done!",0
I really appreciate your effort,0
"Excellent work, well done!",0
Thank you so much,0
I hate everything you do,1
Thank you so much,0
This is the worst thing ever,1
Stop being such a loser,1
You're a disgrace,1
You are a complete idiot,1
Thank you so much,0
Thank you so much,0
This is the worst thing ever,1
"Get lost, nobody wants you here",1
You're a disgrace,1
You are a complete idiot,1
This is trash,1
Great job!,0
Great job!,0
You did amazing,0
That was very helpful,0
That was very helpful,0
This is fantastic,0
"Great guide, thanks!",0
I enjoyed this,0
You are a complete idiot,1
You're a disgrace,1
You are a failure,1
This is the worst thing ever,1
I really appreciate your effort,0
Keep up the good work,0
Stop being such a loser,1
Thank you so much,0
This is fantastic,0
You are a complete idiot,1
Nobody likes you,1
"Excellent work, well done!",0
This is the worst thing ever,1
You did amazing,0
"Great guide, thanks!",0
I wish you were gone,1
I really appreciate your effort,0
I hate everything you do,1
I hate everything you do,1
"Great guide, thanks!",0
You are a failure,1
I enjoyed this,0
This is fantastic,0
You're a disgrace,1
This is trash,1
I hate everything you do,1
This is trash,1
You're so stupid,1
Wonderful experience,0
Keep up the good work,0
"Excellent work, well done!",0
Stop being such a loser,1
You're a disgrace,1
Thank you so much,0
You are a failure,1
Nobody likes you,1
"Excellent work, well done!",0
Wonderful experience,0
"Great guide, thanks!",0
I hate everything you do,1
You are a failure,1
Nobody likes you,1
That was very helpful,0
This is trash,1
That was very helpful,0
Nobody likes you,1
You're a disgrace,1
This is fantastic,0
I hate everything you do,1
I really appreciate your effort,0
Keep up the good work,0
"Great guide, thanks!",0
"Great guide, thanks!",0
You are a failure,1
I enjoyed this,0
You're a disgrace,1
I enjoyed this,0
This is the worst thing ever,1
Keep up the good work,0
"Get lost, nobody wants you here",1
I hate everything you do,1
I enjoyed this,0
I hate everything you do,1
Wonderful experience,0
Keep up the good work,0
Nobody likes you,1
"Excellent work, well done!",0
This is fantastic,0
"Great guide, thanks!",0
Nobody likes you,1
"Great guide, thanks!",0
I wish you were gone,1
This is fantastic,0
You're so stupid,1
That was very helpful,0
Keep up the good work,0
You're so stupid,1
Stop being such a loser,1
Great job!,0
I wish you were gone,1
That was very helpful,0
You did amazing,0
"Get lost, nobody wants you here",1
That was very helpful,0
Wonderful experience,0
This is fantastic,0
Keep up the good work,0
Nobody likes you,1
I enjoyed this,0
Nobody likes you,1
"Get lost, nobody wants you here",1
You are a complete idiot,1
"Get lost, nobody wants you here",1
Stop being such a loser,1
You are a complete idiot,1
Stop being such a loser,1
Keep up the good work,0
You're so stupid,1
This is fantastic,0
Keep up the good work,0
"Great guide, thanks!",0
Thank you so much,0
Nobody likes you,1
I enjoyed this,0
"Excellent work, well done!",0
This is trash,1
You're a disgrace,1
I really appreciate your effort,0
This is fantastic,0
This is the worst thing ever,1
Thank you so much,0
You're so stupid,1
I enjoyed this,0
You are a failure,1
Great job!,0
Thank you so much,0
You are a complete idiot,1
I wish you were gone,1
Great job!,0
Thank you so much,0
Nobody likes you,1
Stop being such a loser,1
You did amazing,0
I wish you were gone,1
Nobody likes you,1
Nobody likes you,1
You're so stupid,1
"Get lost, nobody wants you here",1
"Get lost, nobody wants you here",1
That was very helpful,0
You are a failure,1
You are a complete idiot,1
"Great guide, thanks!",0
I really appreciate your effort,0
Stop being such a loser,1
This is fantastic,0
Nobody likes you,1
"Great guide, thanks!",0
This is the worst thing ever,1
Great job!,0
I hate everything you do,1
You are a complete idiot,1
This is the worst thing ever,1
You did amazing,0
This is fantastic,0
This is the worst thing ever,1
You did amazing,0
Wonderful experience,0
I enjoyed this,0
"Excellent work, well done!",0
I hate everything you do,1
I hate everything you do,1
This is fantastic,0
I really appreciate your effort,0
You are a failure,1
Great job!,0
I really appreciate your effort,0
You are a complete idiot,1
I wish you were gone,1
You are a failure,1
"Great guide, thanks!",0
"Great guide, thanks!",0
You are a failure,1
You are a complete idiot,1
You're so stupid,1
You are a complete idiot,1
Stop being such a loser,1
Stop being such a loser,1
"Great guide, thanks!",0
Great job!,0
This is the worst thing ever,1
Keep up the good work,0
I hate everything you do,1
Nobody likes you,1
I wish you were gone,1
I wish you were gone,1
You're a disgrace,1
This is trash,1
This is trash,1
Great job!,0
Great job!,0
"Great guide, thanks!",0
I enjoyed this,0
Stop being such a loser,1
Wonderful experience,0
This is fantastic,0
This is the worst thing ever,1
That was very helpful,0
This is the worst thing ever,1
You are a failure,1
Keep up the good work,0
"Great guide, thanks!",0
I hate everything you do,1
You're so stupid,1
You are a complete idiot,1
You're a disgrace,1
I really appreciate your effort,0
You are a complete idiot,1
"Great guide, thanks!",0
This is trash,1
"Get lost, nobody wants you here",1
Keep up the good work,0
You're a disgrace,1
This is the worst thing ever,1
Keep up the good work,0
This is trash,1
You did amazing,0
I hate everything you do,1
I really appreciate your effort,0
I wish you were gone,1
Wonderful experience,0
Thank you so much,0
Wonderful experience,0
This is the worst thing ever,1
I really appreciate your effort,0
"Get lost, nobody wants you here",1
You did amazing,0
This is the worst thing ever,1
Wonderful experience,0
"Great guide, thanks!",0
You're so stupid,1
You did amazing,0
"Excellent work, well done!",0
Wonderful experience,0
Great job!,0
"Great guide, thanks!",0
You're a disgrace,1
I really appreciate your effort,0
I wish you were gone,1
This is fantastic,0
You are a failure,1
This is the worst thing ever,1
I wish you were gone,1
Thank you so much,0
Keep up the good work,0
Wonderful experience,0
I hate everything you do,1
Wonderful experience,0
"Great guide, thanks!",0
"Great guide, thanks!",0
That was very helpful,0
You're so stupid,1
"Great guide, thanks!",0
Stop being such a loser,1
You're so stupid,1
That was very helpful,0
I really appreciate your effort,0
This is trash,1
I enjoyed this,0
You did amazing,0
You're a disgrace,1
You did amazing,0
This is trash,1
Nobody likes you,1
I wish you were gone,1
"Excellent work, well done!",0
You did amazing,0
This is the worst thing ever,1
